City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kingston,17.997,-76.7936,29.58,74,83,2.24,JM,1682616888
83,polyarnyy,69.1989,33.4478,-0.05,87,34,6.78,RU,1682616888
84,hermanus,-34.4187,19.2345,16.0,80,52,4.79,ZA,1682616889
85,qaqortoq,60.7167,-46.0333,3.19,72,70,3.49,GL,1682616889
86,walvis bay,-22.9575,14.5053,15.61,66,7,7.63,,1682616889
87,bethel,41.3712,-73.414,12.1,82,100,2.06,US,1682616819
88,chui,-33.6971,-53.4616,23.86,52,0,3.62,UY,1682616889
89,vorgashor,67.5833,63.95,-7.65,90,84,7.23,RU,1682616889
90,ust-nera,64.5667,143.2,-11.99,93,29,0.57,RU,1682616889
91,sarai sidhu,30.5949,71.9698,29.01,24,95,2.1,PK,1682616890
92,qamdo,31.1667,97.2333,0.77,63,90,0.51,CN,1682616890
93,fale old settlement,-9.3852,-171.2468,28.51,71,97,4.75,TK,1682616890
94,west island,-12.1568,96.8225,26.99,89,75,6.17,CC,1682616890
95,tralee,52.2704,-9.7026,13.14,88,75,3.6,IE,1682616803
96,ahraura,25.0167,83.0167,29.88,26,19,2.46,IN,1682616891
97,richards bay,-28.783,32.0377,24.47,76,70,4.92,ZA,1682616891
98,acarau,-2.8856,-40.12,25.13,86,100,4.4,BR,1682616814
99,port blair,11.6667,92.75,28.63,74,95,1.74,IN,1682616891
100,severo-yeniseyskiy,60.3725,93.0408,-5.56,97,100,1.39,RU,1682616891
101,rikaze,29.25,88.8833,6.26,36,91,2.03,CN,1682616891
102,chonchi,-42.6128,-73.8092,10.62,98,100,1.42,CL,1682616892
103,goba,7.0167,39.9833,10.41,85,100,1.38,ET,1682616892
104,sieradz,51.5958,18.7302,8.6,55,85,2.52,PL,1682616892
105,williams lake,52.1415,-122.1445,11.14,38,75,2.06,CA,1682616892
106,nema,57.5067,50.5011,10.51,93,54,3.06,RU,1682616892
107,nar'yan-mar,67.6713,53.087,-4.07,91,100,4.4,RU,1682616674
108,kaduy,59.2,37.15,9.78,80,26,4.3,RU,1682616892
109,fisterra,42.9049,-9.2629,20.01,75,100,1.73,ES,1682616892
110,mammoth lakes,37.6485,-118.9721,14.08,25,0,2.06,US,1682616804
111,pandan,14.0453,124.1694,26.46,85,7,3.99,PH,1682616893
112,lebu,-37.6167,-73.65,16.04,81,97,5.81,CL,1682616742
113,marsciano,42.9059,12.3359,19.99,65,96,1.59,IT,1682616893
114,pisco,-13.7,-76.2167,23.9,78,0,4.12,PE,1682616893
115,saint-denis,48.9167,2.3333,18.09,64,0,5.14,FR,1682616893
116,keflavik,64.0049,-22.5624,4.24,87,75,4.63,IS,1682616893
117,chervona sloboda,49.3789,32.1464,7.17,88,100,7.27,UA,1682616894
118,yanam,16.7333,82.2167,26.23,86,27,1.89,IN,1682616894
119,blackmans bay,-43.0167,147.3167,12.07,86,5,3.36,AU,1682616894
120,shalqar,47.8333,59.6,20.27,20,100,3.85,KZ,1682616894
121,tyumentsevo,53.3224,81.498,14.71,47,100,4.57,RU,1682616894
122,tome acu,-2.4189,-48.1522,30.66,62,77,0.52,BR,1682616879
123,ribeira brava,32.65,-17.0667,26.11,53,14,2.47,PT,1682616895
124,semporna,4.4818,118.6112,26.63,83,100,1.07,MY,1682616895
125,thompson,55.7435,-97.8558,3.09,56,0,6.69,CA,1682616895
126,manokwari,-0.8667,134.0833,25.31,83,90,1.37,ID,1682616895
127,avarua,-21.2078,-159.775,24.03,78,40,3.09,CK,1682616895
128,lata,40.1629,-8.3327,23.31,47,91,2.19,PT,1682616895
129,morehead city,34.7229,-76.726,22.25,68,100,4.63,US,1682616718
130,tangalle,6.024,80.7911,26.51,84,93,3.17,LK,1682616895
131,guiuan,11.0333,125.7247,28.09,80,81,5.28,PH,1682616896
132,capelinha,-17.6914,-42.5158,29.64,33,16,0.87,BR,1682616896
133,fochville,-26.4886,27.4939,18.88,55,58,1.45,ZA,1682616896
134,abalak,58.1286,68.5944,13.47,61,64,3.72,RU,1682616896
135,tazovsky,67.4667,78.7,-6.32,93,97,2.88,RU,1682616896
136,pak phanang,8.3511,100.202,28.18,76,97,2.04,TH,1682616896
137,rongelap,11.1635,166.8941,26.72,83,36,9.0,MH,1682616896
138,aral,40.5156,81.2636,17.9,18,85,3.79,CN,1682616896
139,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,55,0,3.0,RU,1682616897
140,ahvaz,31.3203,48.6693,29.97,19,0,1.03,IR,1682616897
141,funafuti,-8.5243,179.1942,29.0,84,20,4.12,TV,1682616897
142,port elizabeth,-33.918,25.5701,20.05,80,40,8.75,ZA,1682616897
143,rexburg,43.826,-111.7897,14.9,41,0,5.66,US,1682616781
144,kristiansund,63.1115,7.732,3.36,87,75,6.69,NO,1682616897
145,nouadhibou,20.931,-17.0347,21.99,68,0,8.75,MR,1682616897
146,acapulco de juarez,16.8634,-99.8901,29.9,66,20,3.09,MX,1682616691
147,pudasjarvi,65.3833,26.9167,2.82,99,100,5.69,FI,1682616897
148,ghadamis,30.1337,9.5007,30.14,10,0,3.95,LY,1682616897
149,north tamworth,-31.0778,150.9261,12.06,94,75,1.03,AU,1682616898
150,amparafaravola,-17.5833,48.2167,18.28,96,30,1.62,MG,1682616898
151,vikhorevka,56.1201,101.1636,-0.23,98,62,1.73,RU,1682616898
152,tura,25.5198,90.2201,24.48,45,100,1.25,IN,1682616898
153,port-vila,-17.7338,168.3219,25.0,80,6,3.39,VU,1682616898
154,strezhevoy,60.7333,77.5889,2.33,100,100,1.93,RU,1682616898
155,galliano,29.4422,-90.2992,24.44,78,100,4.63,US,1682616644
156,whitehorse,60.7161,-135.0538,2.79,59,75,5.14,CA,1682616898
157,aasiaat,68.7098,-52.8699,-1.01,84,88,3.41,GL,1682616898
158,pitoa,9.3833,13.5333,34.57,30,100,2.18,CM,1682616899
159,pucallpa,-8.3791,-74.5539,30.02,66,75,2.57,PE,1682616899
160,kachug,53.9606,105.8817,-0.61,84,97,1.16,RU,1682616899
161,sainyabuli,19.25,101.75,21.57,89,1,0.4,LA,1682616899
162,lautoka,-17.6167,177.4667,26.92,83,40,3.6,FJ,1682616899
163,susuman,62.7833,148.1667,-9.9,97,100,1.24,RU,1682616899
164,happy valley-goose bay,53.3168,-60.3315,8.17,57,75,4.63,CA,1682616899
165,talnakh,69.4865,88.3972,-11.55,97,99,0.57,RU,1682616899
166,iskateley,67.6803,53.1512,-3.98,90,100,4.43,RU,1682616899
167,puerto aysen,-45.4,-72.7,10.79,84,100,1.44,CL,1682616731
168,invercargill,-46.4,168.35,5.62,99,33,1.22,NZ,1682616745
169,gaiman,-43.2897,-65.4929,20.23,28,97,3.81,AR,1682616900
170,cumanayagua,22.1494,-80.2022,31.23,35,99,2.36,CU,1682616900
171,enewetak,11.3474,162.3373,26.92,80,84,9.91,MH,1682616900
172,nova vicosa,-17.8919,-39.3719,28.76,64,2,4.53,BR,1682616900
173,tolanaro,-25.0319,46.9987,23.04,88,40,4.12,MG,1682616900
174,miri,4.4148,114.0089,27.08,94,20,0.51,MY,1682616901
175,okhotsk,59.3833,143.3,-3.72,82,91,4.66,RU,1682616901
176,afaahiti,-17.75,-149.2833,25.93,81,66,4.75,PF,1682616902
177,songjianghe,42.1859,127.479,6.33,63,100,3.5,CN,1682616902
178,hithadhoo,-0.6,73.0833,29.04,75,98,3.63,MV,1682616903
179,palembang,-2.9167,104.7458,26.05,94,20,0.0,ID,1682616903
180,hawaiian paradise park,19.5933,-154.9731,24.39,92,0,1.54,US,1682616903
181,fort bragg,35.139,-79.006,19.34,82,100,4.12,US,1682616905
182,kuta,-8.7233,115.1723,27.97,88,40,2.24,ID,1682616905
183,mount isa,-20.7333,139.5,14.87,82,66,0.0,AU,1682616906
184,lihue,21.9789,-159.3672,21.31,80,0,4.12,US,1682616906
185,horta,38.5333,-28.6333,17.8,85,40,8.75,PT,1682616907
186,mata-utu,-13.2816,-176.1745,28.22,70,100,1.48,WF,1682616907
187,cabo san lucas,22.8909,-109.9124,28.12,73,0,3.6,MX,1682616767
188,val-d'or,48.1002,-77.7828,7.05,53,75,4.63,CA,1682616908
189,tadine,-21.55,167.8833,22.78,76,52,7.59,NC,1682616908
190,kodiak,57.79,-152.4072,4.73,75,100,3.6,US,1682616909
191,iquique,-20.2208,-70.1431,23.02,83,11,4.34,CL,1682616760
192,santa cruz,-17.8,-63.1667,26.03,65,75,4.63,BO,1682616865
193,usogorsk,63.4106,48.6872,-3.35,94,87,2.31,RU,1682616910
194,el calafate,-50.3408,-72.2768,7.35,72,26,2.96,AR,1682616910
195,belle chasse,29.8549,-89.9906,24.44,73,75,5.14,US,1682616910
196,kavaratti,10.5669,72.642,28.53,71,26,1.68,IN,1682616911
197,springbok,-29.6643,17.8865,13.53,66,3,1.64,ZA,1682616911
198,bayside,40.8424,-124.0637,16.23,76,0,2.57,US,1682616901
199,ust'-ilimsk,58.0006,102.6619,-4.1,96,45,1.93,RU,1682616912
200,ternate,0.8,127.4,27.25,79,94,1.27,ID,1682616913
201,rabo de peixe,37.8,-25.5833,18.73,82,20,6.69,PT,1682616913
202,eyl,7.9803,49.8164,29.16,75,80,5.73,SO,1682616914
203,salinopolis,-0.6136,-47.3561,27.21,81,100,2.02,BR,1682616914
204,rio san juan,19.6439,-70.0763,27.5,69,75,3.17,DO,1682616914
205,kudachi,16.6333,74.85,28.42,49,69,3.1,IN,1682616915
206,utrik,11.2278,169.8474,26.55,84,41,8.45,MH,1682616915
207,puerto cabezas,14.0351,-83.3888,30.98,66,40,3.09,NI,1682616916
208,carnarvon,-24.8667,113.6333,20.8,48,52,10.29,AU,1682616917
